UID,Site ID,State,Date Collected,Chlorophyll A,Dissolved Inorganic Nitrogen,Ammonia,Nitrate/Nitrite,Total Nitrogen,Total Phosphorus,Dissolved Inorganic Phosphate,Waterbody Name,NCCR Region,EPA Region,Province,NCA Region,Latitude,Longitude
514,NCCA10-1038,NH,7/8/2010,1.85,0.011,0.0,0.006,0.295,0.045,0.028,Little Bay,Northeast,1,Acadian Province,East Coast,43.09431,-70.86581
515,NCCA10-1036,NH,7/15/2010,1.43,0.179,0.017,0.162,0.58,0.033,0.021,Piscataqua River,Northeast,1,Acadian Province,East Coast,43.09694,-70.77884
516,NCCA10-1229,WA,7/13/2010,0.85,0.01,0.004,0.006,0.1575,0.02451125,0.013,Hood Canal,West,10,Columbian Province,West Coast,47.540267,-123.021583
517,NCCAGL10-1180,PA,7/12/2010,2.66,0.189,0.008,0.181,0.38625,0.006725,0.004,Lake Erie,Great Lakes,3,Great Lakes Province,Great Lakes,42.03685,-80.47581
518,NCCAGL10-1176,PA,7/13/2010,2.79,0.114,0.007,0.107,0.3025,0.00299125,0.004,Lake Erie,Great Lakes,3,Great Lakes Province,Great Lakes,42.21325,-80.05012
519,NCCAGL10-1173,PA,7/12/2010,2.71,0.194,0.008,0.186,0.3825,0.00439625,0.004,Lake Erie,Great Lakes,3,Great Lakes Province,Great Lakes,42.06438,-80.38138
520,NCCAGL10-1146,PA,7/13/2010,1.37,0.167,0.007,0.16,0.36125,0.004505,0.004,Lake Erie,Great Lakes,3,Great Lakes Province,Great Lakes,42.21614,-79.90916
521,NCCA10-1568,CT,7/15/2010,3.9,0.004,0.0,0.004,0.234,0.046,0.019,Long Island Sound,Northeast,1,Virginian Province,East Coast,41.027583,-73.40139
522,NCCA10-1567,CT,7/14/2010,6.8,0.004,0.0,0.004,0.248,0.07,0.038,Long Island Sound,Northeast,1,Virginian Province,East Coast,41.15797,-73.168523
538,NCCAGL10-2055,WI,7/7/2010,0.0,0.307,0.0,0.307,0.307,0.0024,0.0,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.42339,-87.4868
539,NCCAGL10-1082,WI,7/6/2010,0.0,0.294,0.0,0.294,0.484,0.0027,0.0,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,44.01545,-87.6298
540,NCCAGL10-1081,WI,7/1/2010,0.5,0.251,0.0,0.251,0.251,0.0028,,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,43.04352,-87.8621
541,NCCAGL10-1071,WI,7/6/2010,0.0,0.345,0.017,0.328,0.498,0.0027,0.0,Lake Michigan,Great Lakes,5,Great Lakes Province,Great Lakes,43.72105,-87.65633
